"BehaviorSpace results (NetLogo 6.1.1)"
"Wolf Sheep Predation.nlogo"
"wolf-sheep-grass-simpler"
"04/21/2020 12:31:36:944 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","wolf-gain-from-food","show-energy?","initial-number-wolves","wolf-reproduce","initial-number-sheep","model-version","sheep-gain-from-food","grass-regrowth-time","sheep-reproduce","[step]","count sheep","count wolves","count turtles"
"126","20","false","10","5","120","sheep-wolves-grass","4","20","4","1000","263","58","321"
"127","20","false","10","5","120","sheep-wolves-grass","4","20","4","1000","401","6","407"
"128","20","false","10","5","120","sheep-wolves-grass","4","20","4","1000","204","147","351"
"129","20","false","10","5","120","sheep-wolves-grass","4","20","4","1000","67","139","206"
"130","20","false","10","5","120","sheep-wolves-grass","4","20","4","1000","81","101","182"
"131","20","false","10","5","120","sheep-wolves-grass","4","20","4","1000","130","203","333"
"132","20","false","10","5","120","sheep-wolves-grass","4","20","4","1000","160","63","223"
"134","20","false","10","5","120","sheep-wolves-grass","4","20","4","1000","158","71","229"
"133","20","false","10","5","120","sheep-wolves-grass","4","20","4","1000","212","42","254"
"135","20","false","10","5","120","sheep-wolves-grass","4","20","4","1000","209","65","274"
"136","20","false","10","5","120","sheep-wolves-grass","4","20","4","1000","89","96","185"
"137","20","false","10","5","120","sheep-wolves-grass","4","20","4","1000","299","17","316"
"138","20","false","10","5","120","sheep-wolves-grass","4","20","4","1000","153","33","186"
"139","20","false","10","5","120","sheep-wolves-grass","4","20","4","1000","312","10","322"
"140","20","false","10","5","120","sheep-wolves-grass","4","20","4","1000","278","94","372"
"141","20","false","10","5","120","sheep-wolves-grass","4","30","4","1000","149","74","223"
"142","20","false","10","5","120","sheep-wolves-grass","4","30","4","1000","136","90","226"
"143","20","false","10","5","120","sheep-wolves-grass","4","30","4","1000","180","71","251"
"144","20","false","10","5","120","sheep-wolves-grass","4","30","4","1000","122","60","182"
"145","20","false","10","5","120","sheep-wolves-grass","4","30","4","1000","164","82","246"
"146","20","false","10","5","120","sheep-wolves-grass","4","30","4","1000","124","103","227"
"147","20","false","10","5","120","sheep-wolves-grass","4","30","4","1000","128","84","212"
"148","20","false","10","5","120","sheep-wolves-grass","4","30","4","1000","148","84","232"
"149","20","false","10","5","120","sheep-wolves-grass","4","30","4","1000","151","79","230"
"151","20","false","10","5","120","sheep-wolves-grass","4","30","4","1000","204","61","265"
"150","20","false","10","5","120","sheep-wolves-grass","4","30","4","1000","182","68","250"
"152","20","false","10","5","120","sheep-wolves-grass","4","30","4","1000","126","95","221"
"153","20","false","10","5","120","sheep-wolves-grass","4","30","4","1000","167","80","247"
"154","20","false","10","5","120","sheep-wolves-grass","4","30","4","1000","119","91","210"
"156","20","false","10","5","120","sheep-wolves-grass","4","30","4","1000","195","63","258"
"155","20","false","10","5","120","sheep-wolves-grass","4","30","4","1000","131","96","227"
"157","20","false","10","5","120","sheep-wolves-grass","4","30","4","1000","240","0","240"
"158","20","false","10","5","120","sheep-wolves-grass","4","30","4","1000","147","76","223"
"159","20","false","10","5","120","sheep-wolves-grass","4","30","4","1000","175","92","267"
"161","20","false","10","5","120","sheep-wolves-grass","4","40","4","1000","144","42","186"
"160","20","false","10","5","120","sheep-wolves-grass","4","30","4","1000","169","62","231"
"162","20","false","10","5","120","sheep-wolves-grass","4","40","4","1000","163","45","208"
"163","20","false","10","5","120","sheep-wolves-grass","4","40","4","1000","198","13","211"
"164","20","false","10","5","120","sheep-wolves-grass","4","40","4","1000","181","0","181"
"165","20","false","10","5","120","sheep-wolves-grass","4","40","4","1000","156","29","185"
"166","20","false","10","5","120","sheep-wolves-grass","4","40","4","1000","131","61","192"
"167","20","false","10","5","120","sheep-wolves-grass","4","40","4","1000","148","56","204"
"168","20","false","10","5","120","sheep-wolves-grass","4","40","4","1000","187","19","206"
"169","20","false","10","5","120","sheep-wolves-grass","4","40","4","1000","175","26","201"
"170","20","false","10","5","120","sheep-wolves-grass","4","40","4","1000","166","33","199"
"172","20","false","10","5","120","sheep-wolves-grass","4","40","4","1000","166","32","198"
"171","20","false","10","5","120","sheep-wolves-grass","4","40","4","1000","160","19","179"
"173","20","false","10","5","120","sheep-wolves-grass","4","40","4","1000","171","31","202"
"174","20","false","10","5","120","sheep-wolves-grass","4","40","4","1000","177","29","206"
"175","20","false","10","5","120","sheep-wolves-grass","4","40","4","1000","137","31","168"
"176","20","false","10","5","120","sheep-wolves-grass","4","40","4","1000","151","35","186"
"178","20","false","10","5","120","sheep-wolves-grass","4","40","4","1000","158","33","191"
"177","20","false","10","5","120","sheep-wolves-grass","4","40","4","1000","166","34","200"
"179","20","false","10","5","120","sheep-wolves-grass","4","40","4","1000","149","37","186"
"180","20","false","10","5","120","sheep-wolves-grass","4","40","4","1000","165","31","196"
"181","20","false","10","5","150","sheep-wolves-grass","4","20","4","1000","373","60","433"
"183","20","false","10","5","150","sheep-wolves-grass","4","20","4","1000","340","28","368"
"182","20","false","10","5","150","sheep-wolves-grass","4","20","4","1000","119","218","337"
"184","20","false","10","5","150","sheep-wolves-grass","4","20","4","1000","90","36","126"
"185","20","false","10","5","150","sheep-wolves-grass","4","20","4","1000","152","8","160"
"186","20","false","10","5","150","sheep-wolves-grass","4","20","4","1000","358","55","413"
"188","20","false","10","5","150","sheep-wolves-grass","4","20","4","1000","276","128","404"
"187","20","false","10","5","150","sheep-wolves-grass","4","20","4","1000","317","95","412"
"189","20","false","10","5","150","sheep-wolves-grass","4","20","4","1000","301","49","350"
"190","20","false","10","5","150","sheep-wolves-grass","4","20","4","1000","116","56","172"
"191","20","false","10","5","150","sheep-wolves-grass","4","20","4","1000","375","39","414"
"192","20","false","10","5","150","sheep-wolves-grass","4","20","4","1000","196","37","233"
"193","20","false","10","5","150","sheep-wolves-grass","4","20","4","1000","267","81","348"
"194","20","false","10","5","150","sheep-wolves-grass","4","20","4","1000","221","112","333"
"195","20","false","10","5","150","sheep-wolves-grass","4","20","4","1000","340","37","377"
"196","20","false","10","5","150","sheep-wolves-grass","4","20","4","1000","185","112","297"
"197","20","false","10","5","150","sheep-wolves-grass","4","20","4","1000","294","93","387"
"198","20","false","10","5","150","sheep-wolves-grass","4","20","4","1000","220","154","374"
"199","20","false","10","5","150","sheep-wolves-grass","4","20","4","1000","139","35","174"
"200","20","false","10","5","150","sheep-wolves-grass","4","20","4","1000","141","187","328"
"201","20","false","10","5","150","sheep-wolves-grass","4","30","4","1000","158","78","236"
"202","20","false","10","5","150","sheep-wolves-grass","4","30","4","1000","173","59","232"
"203","20","false","10","5","150","sheep-wolves-grass","4","30","4","1000","108","87","195"
"204","20","false","10","5","150","sheep-wolves-grass","4","30","4","1000","192","63","255"
"205","20","false","10","5","150","sheep-wolves-grass","4","30","4","1000","132","80","212"
"206","20","false","10","5","150","sheep-wolves-grass","4","30","4","1000","131","79","210"
"207","20","false","10","5","150","sheep-wolves-grass","4","30","4","1000","128","105","233"
"209","20","false","10","5","150","sheep-wolves-grass","4","30","4","1000","152","98","250"
"210","20","false","10","5","150","sheep-wolves-grass","4","30","4","1000","176","60","236"
"208","20","false","10","5","150","sheep-wolves-grass","4","30","4","1000","180","80","260"
"211","20","false","10","5","150","sheep-wolves-grass","4","30","4","1000","102","94","196"
"212","20","false","10","5","150","sheep-wolves-grass","4","30","4","1000","130","61","191"
"213","20","false","10","5","150","sheep-wolves-grass","4","30","4","1000","186","81","267"
"215","20","false","10","5","150","sheep-wolves-grass","4","30","4","1000","145","58","203"
"214","20","false","10","5","150","sheep-wolves-grass","4","30","4","1000","138","44","182"
"216","20","false","10","5","150","sheep-wolves-grass","4","30","4","1000","183","68","251"
"217","20","false","10","5","150","sheep-wolves-grass","4","30","4","1000","115","112","227"
"218","20","false","10","5","150","sheep-wolves-grass","4","30","4","1000","144","48","192"
"219","20","false","10","5","150","sheep-wolves-grass","4","30","4","1000","137","71","208"
"221","20","false","10","5","150","sheep-wolves-grass","4","40","4","1000","150","49","199"
"220","20","false","10","5","150","sheep-wolves-grass","4","30","4","1000","163","75","238"
"222","20","false","10","5","150","sheep-wolves-grass","4","40","4","1000","151","34","185"
"223","20","false","10","5","150","sheep-wolves-grass","4","40","4","1000","157","22","179"
"224","20","false","10","5","150","sheep-wolves-grass","4","40","4","1000","181","23","204"
"225","20","false","10","5","150","sheep-wolves-grass","4","40","4","1000","168","19","187"
"226","20","false","10","5","150","sheep-wolves-grass","4","40","4","1000","143","42","185"
"227","20","false","10","5","150","sheep-wolves-grass","4","40","4","1000","164","36","200"
